Study_Hours,Attendance_%,Previous_Marks_%,Assignment_Score_%,Pass
2.0,89.8,68.8,90.6,0
8.8,94.5,74.6,87.2,1
6.6,66.9,78.3,48.1,1
4.0,68.8,65.0,42.0,0
1.6,54.7,74.5,76.8,0
3.8,78.9,72.1,95.1,0
3.9,51.8,89.6,69.0,0
7.6,73.3,42.5,70.0,0
6.7,77.1,55.5,49.6,1
9.0,64.3,92.3,83.9,1
5.2,79.5,89.0,43.1,1
2.1,51.5,65.1,52.7,0
7.4,51.9,74.1,59.8,1
7.8,91.1,55.3,65.5,1
6.1,68.0,50.3,47.0,0
7.9,56.4,65.5,38.0,1
5.4,76.1,59.4,72.7,1
5.7,88.5,72.1,50.2,1
4.8,60.8,44.3,70.7,0
1.2,81.1,93.6,40.8,0
2.0,54.3,94.2,63.7,0
1.3,52.6,78.4,67.3,0
6.7,76.6,69.5,33.6,0
3.8,77.0,57.0,53.6,0
5.6,81.9,84.8,39.4,1
9.2,86.3,77.7,34.4,1
3.2,98.8,48.9,99.3,0
4.7,75.8,90.1,52.6,1
7.8,66.1,85.2,86.7,1
3.1,89.8,92.2,47.8,0
1.7,63.5,79.9,77.7,0
3.6,71.9,73.7,83.2,0
2.5,53.9,63.0,71.7,0
9.4,51.3,91.3,63.0,1
8.3,98.1,87.6,58.8,1
6.7,91.8,42.5,54.4,1
8.8,84.8,41.5,95.1,1
8.2,70.4,60.7,88.1,1
2.7,58.7,84.6,97.6,0
9.0,57.8,94.3,38.7,1
5.9,62.5,48.3,81.2,1
8.3,77.5,72.7,95.7,1
9.1,85.7,60.9,42.7,1
3.9,83.0,93.3,34.7,0
2.0,64.0,86.3,81.9,0
3.1,97.7,86.1,70.2,1
4.8,86.9,65.8,88.9,0
8.4,77.7,62.8,39.8,1
8.7,80.6,55.0,85.7,1
1.1,71.0,43.1,44.1,0
5.6,62.4,87.6,41.5,0
4.8,67.8,84.7,41.5,0
3.0,87.9,95.0,87.0,0
2.1,50.7,94.8,76.6,0
4.0,55.8,70.5,66.6,0
9.5,52.3,82.3,55.1,1
3.9,52.0,92.0,91.4,1
5.7,92.8,86.7,57.5,1
7.3,85.2,53.6,87.2,1
4.3,73.7,64.8,60.7,0
9.7,54.9,47.1,56.4,1
9.7,74.6,92.5,62.4,1
3.3,73.7,73.3,51.1,0
5.5,58.7,52.6,82.3,1
3.7,71.7,76.9,65.2,0
3.6,69.9,74.0,46.3,0
1.3,80.8,59.7,93.0,0
6.5,81.8,46.2,56.9,1
5.5,52.3,76.9,68.0,1
1.5,68.7,68.6,93.5,0
3.5,81.3,82.5,73.7,1
9.2,75.2,68.6,38.2,1
3.2,92.8,86.9,95.8,1
2.3,82.9,70.4,73.9,0
5.4,58.1,70.9,53.4,1
9.9,53.5,88.2,39.7,1
3.2,82.1,62.2,85.6,0
7.0,51.3,47.4,73.4,0
7.9,79.3,41.6,67.3,1
3.1,97.0,81.5,92.6,1
7.6,78.8,74.1,85.2,1
4.3,69.4,78.7,40.6,0
6.7,82.2,51.7,51.8,0
6.7,72.9,47.5,47.4,1
5.8,77.3,40.8,82.1,1
1.8,97.1,59.3,32.3,0
8.5,69.3,72.4,69.9,1
3.9,98.1,61.6,83.4,1
2.7,95.3,64.1,91.4,0
1.4,59.8,89.7,53.9,0
6.3,53.5,59.2,87.5,0
7.1,55.0,68.3,37.7,1
1.1,50.9,83.1,89.3,0
5.6,54.7,61.8,38.9,0
3.0,84.2,74.2,57.8,0
6.8,53.6,87.4,85.8,0
2.6,65.9,92.2,40.5,0
7.2,92.2,48.1,46.0,1
4.5,51.2,91.0,80.6,0
9.4,90.7,67.1,80.4,1
2.2,64.1,54.2,74.9,0
4.1,55.9,65.3,78.6,0
2.0,84.8,93.9,68.0,0
9.3,81.4,67.1,47.6,1
8.9,93.9,58.1,54.2,1
3.3,86.8,74.8,42.7,0
6.9,90.2,53.2,93.6,1
8.4,64.1,44.2,70.8,1
6.0,58.9,47.1,58.1,0
5.8,87.5,47.0,62.3,1
3.2,90.3,48.4,96.3,0
1.8,99.5,47.6,40.7,0
9.1,70.6,75.2,71.0,1
9.1,68.6,50.0,65.4,1
6.7,88.8,59.0,72.8,1
4.1,67.0,89.3,31.3,0
4.1,96.5,66.1,91.0,0
7.5,92.9,76.7,95.2,1
9.1,71.4,49.5,69.6,1
9.0,87.5,50.6,78.8,1
8.0,87.7,42.2,94.6,1
